k,Accuracy,F1-score,NMI,ARI,Runtime,Memory (MB)
2,0.3305613305613306,0.31393801146553074,0.12395125480275739,0.07876461055885302,1.6671738624572754,179.98828125
5,0.6486486486486487,0.6398324295742223,0.5360183525384299,0.4220864506281078,0.5181593894958496,182.48046875
10,0.6985446985446986,0.641790444931995,0.6399156573302581,0.5364093452093813,0.473968505859375,182.703125
20,0.5841995841995842,0.5620366994924983,0.5585456355171248,0.39846087672128777,0.34982848167419434,183.2265625
50,0.6486486486486487,0.6248427361356018,0.5269023030797743,0.455095660000413,0.3728322982788086,183.35546875
100,0.2515592515592516,0.2302875230815391,0.039177151615228646,0.01859471338426056,0.40857696533203125,183.96875
200,0.23700623700623702,0.21625873154063033,0.017456706652211728,0.002554921026248821,0.3514895439147949,185.19921875
