k,Accuracy,F1-score,NMI,ARI,Runtime,Memory (MB)
2,0.5487444608567208,0.5029860471847231,0.3353939119311251,0.2735873816701454,1.590940237045288,324.125
5,0.6502954209748892,0.6031521061555621,0.4489217069705647,0.40566087131005674,1.3748869895935059,378.1640625
10,0.655096011816839,0.6104595837454633,0.4678903265330004,0.4140086703069913,1.1948566436767578,380.51171875
20,0.6026587887740029,0.5412062489523798,0.44660068946041165,0.3717306398355876,1.6341795921325684,382.484375
50,0.6100443131462334,0.5628822940164084,0.440800051332599,0.36308195820446515,1.2166926860809326,388.40234375
100,0.6211225997045791,0.5772297214697524,0.43945297412869244,0.3633722362938535,1.5290377140045166,392.30859375
200,0.5646233382570163,0.5404570032685393,0.402714929417831,0.3219943816147704,2.318110227584839,396.4140625
500,0.5480059084194978,0.5181442596475216,0.37569581301791033,0.3050873778350984,5.984645366668701,413.04296875
1000,0.5365583456425406,0.5035765056731081,0.34499206890286555,0.27405542345628414,6.1520397663116455,440.69921875
