k,Accuracy,F1-score,NMI,ARI,Runtime,Memory (MB)
2,0.535024154589372,0.437238377051471,0.2735549436291793,0.27771754011129485,1.571244716644287,446.48828125
5,0.6189613526570048,0.5710418510141865,0.33852659289328646,0.34342973212159233,1.169374942779541,551.421875
10,0.6657608695652174,0.6188167008128234,0.3940536873386514,0.40230273161735514,1.4834063053131104,551.61328125
20,0.6760265700483091,0.6318906328944571,0.40657349264409165,0.4204218644776245,1.6381199359893799,557.4921875
50,0.6467391304347826,0.614546471371881,0.3789211951567772,0.3796457386014853,1.5308918952941895,559.01171875
100,0.6479468599033816,0.6124547460391145,0.3826539661485043,0.3879277162831036,1.7060470581054688,567.3671875
200,0.6201690821256038,0.593610256384224,0.3519054769918824,0.3503525710215765,2.2943103313446045,577.7109375
500,0.642512077294686,0.6076203970895796,0.3652414646757495,0.3752696038067311,5.568750858306885,597.59765625
1000,0.6313405797101449,0.5963348166367016,0.35184547983930803,0.3601806182617813,9.472050666809082,628.55078125
