k,Accuracy,F1-score,NMI,ARI,Runtime,Memory (MB)
2,0.4379615952732644,0.36906120681763394,0.29813198298317106,0.20592757167872053,1.5865247249603271,354.78125
5,0.5048005908419497,0.47859318632177794,0.3303877734153485,0.24390676887976026,1.1462733745574951,397.8046875
10,0.6030280649926145,0.5167535521265909,0.41055077576139154,0.35914106094710285,1.0613391399383545,413.61328125
20,0.6192762186115214,0.5316571700595973,0.4226036217880391,0.3736872980649772,1.7600936889648438,415.6640625
50,0.6133677991137371,0.5576388621191626,0.4215707540229697,0.3621172870792739,1.1306381225585938,417.38671875
100,0.6070901033973413,0.5761262382341147,0.40425660512460915,0.3412221517002221,1.1051862239837646,423.45703125
200,0.5886262924667651,0.5713486770524342,0.4145064301637646,0.34116708235302573,1.561847448348999,431.8828125
500,0.5505908419497785,0.47655192550141123,0.36636575298775637,0.29447589605174856,4.167949438095093,431.8828125
1000,0.6074593796159528,0.5697449779140743,0.36539381010531846,0.3144884279065761,5.7355334758758545,468.08203125
